sweep,H,L,T
893,-88,0,0
894,-104,0,0
895,-116,0,0
896,-104,0,0
897,-108,0,0
898,-128,0,0
899,-128,0,0
900,-112,0,0
901,-120,0,0
902,-108,0,0
903,-128,0,0
904,-112,0,0
905,-116,0,0
906,-128,0,0
907,-120,0,0
908,-128,0,0
909,-112,0,0
910,-128,0,0
911,-128,0,0
912,-116,0,0
913,-116,0,0
914,-112,0,0
915,-120,0,0
916,-128,0,0
917,-128,0,0
918,-128,0,0
919,-128,0,0
920,-128,0,0
921,-104,0,0
922,-80,0,0
923,-104,0,0
924,-108,0,0
925,-120,0,0
926,-112,0,0
927,-120,0,0
928,-108,0,0
929,-104,0,0
930,-120,0,0
931,-112,0,0
932,-108,0,0
933,-116,0,0
934,-108,0,0
935,-128,0,0
936,-128,0,0
937,-120,0,0
938,-120,0,0
939,-120,0,0
940,-128,0,0
941,-128,0,0
942,-128,0,0
943,-120,0,0
944,-100,0,0
945,-112,0,0
946,-108,0,0
947,-108,0,0
948,-120,0,0
949,-120,0,0
950,-120,0,0
951,-112,0,0
952,-120,0,0
953,-120,0,0
954,-128,0,0
955,-112,0,0
956,-104,0,0
957,-128,0,0
958,-128,0,0
959,-112,0,0
960,-120,0,0
961,-128,0,0
962,-108,0,0
963,-88,0,0
964,-108,0,0
965,-92,0,0
966,-108,0,0
967,-100,0,0
968,-100,0,0
969,-92,0,0
970,-120,0,0
971,-120,0,0
972,-120,0,0
973,-104,0,0
974,-112,0,0
975,-112,0,0
976,-120,0,0
977,-116,0,0
978,-128,0,0
979,-128,0,0
980,-120,0,0
981,-112,0,0
982,-128,0,0
983,-108,0,0
984,-88,0,0
985,-60,0,0
986,-68,0,0
987,-72,0,0
988,-80,0,0
989,-100,0,0
990,-72,0,0
991,-92,0,0
992,-84,0,0
993,-88,0,0
994,-100,0,0
995,-112,0,0
996,-104,0,0
997,-120,0,0
998,-128,0,0
999,-112,0,0
1000,-104,0,0
1001,-120,0,0
1002,-128,0,0
1003,-120,0,0
1004,-116,0,0
1005,-120,0,0
1006,-128,0,0
1007,-128,0,0
1008,-116,0,0
1009,-120,0,0
1010,-116,0,0
1011,-120,0,0
1012,-128,0,0
1013,-112,0,0
1014,-112,0,0
1015,-104,0,0
1016,-112,0,0
1017,-112,0,0
1018,-128,0,0
1019,-120,0,0
1020,-120,0,0
1021,-128,0,0
1022,-128,0,0
1023,-120,0,0
1024,-96,0,0
1025,-120,0,0
1026,-128,0,0
1027,-116,0,0
1028,-108,0,0
1029,-112,0,0
1030,-108,0,0
1031,-112,0,0
1032,-120,0,0
1033,-112,0,0
1034,-120,0,0
1035,-112,0,0
1036,-104,0,0
1037,-96,0,0
1038,-112,0,0
1039,-84,0,0
1040,-128,0,0
1041,-112,0,0
1042,-96,0,0
1043,-92,0,0
1044,-100,0,0
1045,-108,0,0
1046,-116,0,0
1047,-128,0,0
1048,-128,0,0
1049,-120,0,0
1050,-100,0,0
1051,-108,0,0
1052,-108,0,0
1053,-120,0,0
1054,-128,0,0
1055,-128,0,0
1056,-120,0,0
1057,-104,0,0
1058,-92,0,0
1059,-92,0,0
1060,-116,0,0
1061,-112,0,0
1062,-112,0,0
1063,-120,0,0
1064,-112,0,0
1065,-120,0,0
1066,-104,0,0
1067,-112,0,0
1068,-112,0,0
1069,-112,0,0
1070,-108,0,0
1071,-128,0,0
1072,-120,0,0
1073,-96,0,0
1074,-104,0,0
1075,-100,0,0
1076,-116,0,0
1077,-104,0,0
1078,-100,0,0
1079,-128,0,0
1080,-112,0,0
1081,-112,0,0
1082,-116,0,0
1083,-116,0,0
1084,-108,0,0
1085,-112,0,0
1086,-108,0,0
1087,-120,0,0
1088,-128,0,0
1089,-120,0,0
1090,-96,0,0
1091,-108,0,0
1092,-112,0,0
1093,-120,0,0
1094,-116,0,0
1095,-128,0,0
1096,-116,0,0
1097,-92,0,0
1098,-84,0,0
1099,-100,0,0
1100,-116,0,0
1101,-100,0,0
1102,-88,0,0
1103,-104,0,0
1104,-116,0,0
1105,-128,0,0
1106,-128,0,0
1107,-112,0,0
1108,-100,0,0
1109,-92,0,0
1110,-88,0,0
1111,-120,0,0
1112,-128,0,0
1113,-100,0,0
1114,-120,0,0
1115,-80,0,0
1116,-112,0,0
1117,-112,0,0
1118,-112,0,0
1119,-120,0,0
1120,-116,0,0
1121,-120,0,0
1122,-112,0,0
1123,-112,0,0
1124,-96,0,0
1125,-108,0,0
1126,-96,0,0
1127,-80,0,0
1128,-80,0,0
1129,-120,0,0
1130,-120,0,0
1131,-120,0,0
1132,-112,0,0
1133,-96,0,0
1134,-112,0,0
1135,-96,0,0
1136,-96,0,0
1137,-116,0,0
1138,-120,0,0
1139,-116,0,0
1140,-120,0,0
1141,-112,0,0
1142,-120,0,0
1143,-100,0,0
1144,-112,0,0
1145,-104,0,0
1146,-128,0,0
1147,-120,0,0
1148,-128,0,0
1149,-128,0,0
1150,-128,0,0
1151,-116,0,0
1152,-120,0,0
1153,-120,0,0
1154,-120,0,0
1155,-100,0,0
1156,-84,0,0
1157,-100,0,0
1158,-100,0,0
1159,-128,0,0
1160,-128,0,0
1161,-120,0,0
1162,-112,0,0
1163,-100,0,0
1164,-112,0,0
